Bangla,English
আদিতে ঈশ্বর আকাশমণ্ডল ও পৃথিবীর সৃষ্টি করলেন।,In the beginning God created the heauen and the earth.
"পৃথিবী বিন্যাস বিহীন ও শূন্য ছিল এবং অন্ধকার জলরাশির উপরে ছিল, আর ঈশ্বরের আত্মা জলের উপরে চলাচল করছিলেন।","And the earth was without forme and void, and darkenesse was vpon the deepe, and the Spirit of God mooued vpon the waters."
"পরে ঈশ্বর বললেন, আলো হোক; তাতে আলো হল।","Then God said, Let there be light: And there was light."
তখন ঈশ্বর আলো উত্তম দেখলেন এবং ঈশ্বর আলো ও অন্ধকার আলাদা করলেন।,"And God saw the light that it was good, and God separated the light from the darkenes."
আর ঈশ্বর আলোর নাম “দিন” ও অন্ধকারের নাম “রাত” রাখলেন। সন্ধ্যা ও সকাল হলে প্রথম দিন হল।,"And God called the Light, Day, and the darkenes, he called Night. So the euening and the morning were the first day."
"পরে ঈশ্বর বললেন, “জলের মধ্যে আকাশ (বায়ুমণ্ডল) হোক ও জলকে দুই ভাগে আলাদা করুক।”","Againe God said, Let there be a firmament in the mids of the waters: and let it separate the waters from the waters."
ঈশ্বর এই ভাবে বায়ুমণ্ডল করে আকাশের উপরের জল থেকে নীচের জল পৃথক করলেন; তাতে সেরকম হল।,"Then God made the firmament, and separated the waters, which were vnder the firmament, from the waters which were aboue the firmament: and it was so."
পরে ঈশ্বর আকাশের নাম আকাশমণ্ডল রাখলেন। আর সন্ধ্যা ও সকাল হলে দ্বিতীয় দিন হল।,And God called the firmament Heauen. So the Euening and the morning were the second day.
"পরে ঈশ্বর বললেন, “আকাশমণ্ডলের নীচে অবস্থিত সমস্ত জল এক জায়গায় জমা হোক ও স্থল প্রকাশিত হোক,” তাতে সেরকম হল।","God said againe, Let the waters vnder the heauen be gathered into one place, and let the dry land appeare. and it was so."
"তখন ঈশ্বর শুকনো জায়গার নাম ভূমি ও জলরাশির নাম সমুদ্র রাখলেন; আর ঈশ্বর দেখলেন যে, তা উত্তম।","And God called the dry land, Earth, and he called the gathering together of the waters, Seas: and God saw that it was good."
